,keyword,values
2816,인스타키즈,8
2371,슈퍼주니어,8
2370,leeteuk,8
1379,쌈채소,8
2810,쥐띠아기,8
2809,외가집,8
2807,남매스타그램,8
3793,먹스터,8
3325,수영,8
2368,이특,8
2367,재방송,8
286,kbbq,8
283,건강식단,8
710,선팔환영,8
1283,명언,8
314,hipplace,8
2378,ebs,8
2365,매일,8
3000,알리오올리오,8
588,아기옷,8
1679,아기간식,8
591,대현동맘,8
3430,수제비,8
595,인테리어소품,8
1691,레시피북,8
1373,진미채,8
2420,모임,8
599,집꾸미기,8
600,베이비스타그램,8
1367,진미채볶음,8
3321,철인3종,8
1365,보양식,8
610,새댁스타그램,8
2860,첫줄안녕,8
2427,italianfood,8
615,jeju,8
1390,오늘요리,8
3322,자전거,8
1393,한상차림,8
1703,돼지불고기,8
371,グルメ,8
3319,마라톤,8
1709,불고기,8
638,먹팔맞팔,8
2379,본방사수,8
3264,당면,8
328,키토,8
3317,1985년,8
712,flf,8
3662,출강,8
1504,食事,8
4074,와인잔,8
2770,cookies,8
2360,13번,8
2475,맛집그램,8
1264,day,8
3513,selstgram데일리룩,8
751,빵덕후,8
3515,광주옷가게,8
2353,healthy,8
2355,video,8
3517,부산카페,8
754,사과,8
2358,천상현,8
1251,외식,8
1254,셀스타,8
1625,운동스타그램,8
2361,시원한,8
2784,ㅋㅋㅋ,8
3104,お昼ごはん,8
2362,요리비결,8
246,계란찜,8
724,いいね返し,8
2350,vegetables,8
2497,뉴욕일상,8
2363,superjunior,8
3755,20200729,7
1670,koreanfoods,7
2209,밥도둑,7
1701,가족식사,7
1193,자기효능감,7
3617,음스타그램,7
2384,최고,7
3634,백종원레시피,7
3753,요리스타그램🍳,7
1242,덮밥,7
1664,맛집투어,7
1479,그릇편집샵,7
2676,goodmoring,7
2627,오늘의메뉴,7
1335,새우완자,7
2359,성게비빔밥,7
1526,아메리카노,7
1194,지속력,7
1352,주부그램,7
1391,그래도,7
1446,조식,7
2522,추천,7
2322,cookinggram,7
2397,주인공은나야나,7
980,수성구,7
1201,키친,7
2521,패션스타그램,7
3405,몸무게,7
2395,atlanta,7
1198,동기부여,7
1238,식당,7
1465,반려견,7
1967,엄마집밥,7
2624,homecookingmenu,7
1361,푸드그램,7
975,광안리,7
1197,꾸준함,7
1354,200730,7
2675,굿모닝그램,7
1463,도자기그릇,7
1196,저탄고단,7
2015,감자탕,7
2218,협찬,7
1714,갈비만두,7
1646,foodgram,7
2033,맞팔선팔환영,7
1820,instgood,7
1894,tupperware,7
1313,meal,7
1090,맛점,7
1755,참이슬,7
2369,고급스러운,7
1754,수원맛집,7
3399,감사합니다,7
2060,lff,7
1308,dailyfood,7
3833,짜장면,7
2063,반사,7
1475,맛이있는그릇이야기,7
1737,상추,7
2465,요리하는엄마,7
3587,간단하게_한잔,7
1119,저칼로리식단,7
1838,아삭이고추,7
1433,점심스타그램,7
2366,10시50분,7
3708,주먹밥,7
1746,파운드케이크,7
2593,소통🙆,7
3512,서울옷가게,7
1192,성경읽기,7
2481,치아바타샌드위치,7
1190,신약읽기내비게이션,7
1189,평생습관,7
1532,한국,7
3691,chicken,7
1747,레시피테러리스트,7
1184,성장,7
2239,홈테이블,7
1181,identityinchrist,7
1639,백종원,7
2606,소개계정,7
2605,소개계정팔로우,7
1533,vegan,7
2024,asmr,7
1178,놀면뭐하니,7
2122,밤호박,7
